차종,차량 유형,거래 구분,2016-01,2016-02,2016-03,2016-04,2016-05,2016-06,2016-07,2016-08,2016-09,2016-10,2016-11,2016-12,2017-01,2017-02,2017-03,2017-04,2017-05,2017-06,2017-07,2017-08,2017-09,2017-10,2017-11,2017-12,2018-01,2018-02,2018-03,2018-04,2018-05,2018-06,2018-07,2018-08,2018-09,2018-10,2018-11,2018-12,2019-01,2019-02,2019-03,2019-04,2019-05,2019-06,2019-07,2019-08,2019-09,2019-10,2019-11,2019-12,2020-01,2020-02,2020-03,2020-04,2020-05,2020-06,2020-07,2020-08,2020-09,2020-10,2020-11,2020-12,2021-01,2021-02,2021-03,2021-04,2021-05,2021-06,2021-07,2021-08,2021-09,2021-10,2021-11,2021-12,2022-01,2022-02,2022-03,2022-04,2022-05,2022-06,2022-07,2022-08,2022-09,2022-10,2022-11,2022-12,2023-01,2023-02,2023-03,2023-04,2023-05,2023-06,2023-07,2023-08,2023-09,2023-10,2023-11,2023-12,2024-01,2024-02,2024-03,2024-04,2024-05,2024-06,2024-07,2024-08,2024-09,2024-10,2024-11,2024-12,2025-01,2025-02
Avante (CN7),승용차,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,7447.0,8969.0,10844.0,11036.0,5751.0,8241.0,7454.0,6713.0,7605.0,6104.0,4725.0,7681.0,6666.0,6168.0,5167.0,4692.0,3950.0,4352.0,2978.0,4847.0,5969.0,4366.0,2846.0,2956.0,5143.0,3911.0,2578.0,3927.0,1911.0,3967.0,5008.0,5041.0,7137.0,5241.0,5430.0,5466.0,5123.0,5191.0,4556.0,3534.0,4193.0,3739.0,4246.0,4760.0,4196.0,3994.0,1828.0,3651.0,5131.0,5226.0,4196.0,3458.0,3450.0,3290.0,5411.0,4787.0,5766.0,4086.0,4658.0
Avante (CN7 HEV),승용차,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41.0,895.0,862.0,764.0,763.0,448.0,399.0,773.0,756.0,529.0,806.0,665.0,385.0,325.0,227.0,501.0,798.0,733.0,519.0,534.0,687.0,636.0,565.0,562.0,371.0,356.0,492.0,560.0,960.0,777.0,827.0,1070.0,120.0,1365.0,742.0,466.0,402.0,407.0,640.0,953.0,794.0,398.0,402.0,462.0,567.0,432.0,468.0,415.0,435.0,396.0,517.0,496.0,617.0,1233.0,1445.0
Avante (CN7 N),승용차,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0,112.0,540.0,163.0,93.0,188.0,338.0,332.0,402.0,552.0,371.0,167.0,208.0,124.0,131.0,115.0,99.0,138.0,82.0,79.0,83.0,35.0,43.0,20.0,2.0,163.0,221.0,131.0,115.0,152.0,46.0,62.0,75.0,108.0,135.0,142.0,102.0,54.0,61.0,64.0,169.0,79.0,144.0,193.0
Sonata (DN8),승용차,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,111.0,6128.0,11224.0,7887.0,6333.0,5547.0,4045.0,6531.0,5548.0,5452.0,3743.0,3044.0,4804.0,3341.0,2924.0,5123.0,2942.0,2604.0,2385.0,3333.0,2433.0,2182.0,2114.0,2316.0,3806.0,4598.0,3538.0,3112.0,2348.0,3173.0,3063.0,3394.0,3794.0,3141.0,1748.0,2486.0,2629.0,2242.0,2196.0,3261.0,2616.0,2463.0,2411.0,1280.0,1672.0,2502.0,1189.0,842.0,608.0,422.0,1432.0,2258.0,1588.0,1856.0,1869.0,3537.0,3498.0,3612.0,379.0,1187.0,3298.0,3307.0,3207.0,2234.0,2412.0,2239.0,2296.0,2199.0,3133.0,3487.0,1785.0,2089.0
Sonata (DN8 HEV),승용차,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,985.0,1312.0,1713.0,1203.0,1225.0,1012.0,195.0,720.0,593.0,1306.0,1065.0,627.0,544.0,689.0,595.0,1098.0,765.0,380.0,616.0,421.0,542.0,515.0,662.0,537.0,663.0,512.0,626.0,1055.0,907.0,147.0,491.0,634.0,414.0,117.0,629.0,285.0,356.0,211.0,214.0,374.0,551.0,354.0,386.0,377.0,207.0,297.0,693.0,554.0,744.0,671.0,1009.0,1076.0,1243.0,117.0,210.0,776.0,786.0,778.0,814.0,695.0,956.0,1043.0,1194.0,1186.0,1348.0,517.0,961.0
Grandeur (GN7),승용차,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1023.0,7486.0,5407.0,5419.0,5561.0,4818.0,4684.0,4012.0,3409.0,3492.0,3509.0,3913.0,3308.0,3610.0,1458.0,1960.0,3130.0,3585.0,3664.0,2488.0,2775.0,2674.0,2509.0,2949.0,2680.0,3515.0,2613.0,2331.0
Grandeur (GN7 HEV),승용차,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1154.0,3711.0,4396.0,5355.0,5179.0,6897.0,7516.0,5122.0,5328.0,4650.0,4279.0,4672.0,4800.0,2177.0,2003.0,2970.0,3500.0,3220.0,3215.0,3512.0,3513.0,3611.0,4484.0,2367.0,3697.0,3098.0,3150.0
IONIQ 6 (CE),승용차,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1408.0,1310.0,1757.0,1662.0,1557.0,1382.0,1270.0,1471.0,1150.0,1164.0,1339.0,1505.0,637.0,549.0,1109.0,826.0,613.0,981.0,489.0,448.0,451.0,233.0,350.0,1224.0,1001.0,297.0,654.0,625.0,918.0,942.0,616.0,580.0,385.0,372.0,552.0,487.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.0,2652.0,3667.0,3905.0,1057.0,23.0,1632.0,2200.0,1316.0,1117.0,491.0,488.0,400.0,344.0,472.0,618.0,183.0,4.0,98.0,936.0,421.0,377.0,292.0,275.0,405.0,368.0,866.0,734.0,181.0,12.0,346.0
G70,승용차,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,199.0,956.0,1584.0,1606.0,1418.0,1062.0,1233.0,1103.0,967.0,1035.0,890.0,1138.0,1024.0,1406.0,1550.0,1591.0,2479.0,1873.0,2195.0,1930.0,1958.0,1853.0,1726.0,2071.0,1496.0,1786.0,1214.0,1703.0,1186.0,783.0,617.0,259.0,66.0,16.0,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,533.0,565.0,416.0,489.0,357.0,437.0,374.0,243.0,233.0,416.0,470.0,751.0,268.0,195.0,390.0,356.0,215.0,429.0,529.0,423.0,364.0,257.0,251.0,255.0,237.0,209.0,199.0,145.0,151.0,167.0,215.0,212.0,181.0,126.0,180.0,159.0,106.0,154.0
G70 SB (IK SB),승용차,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.0,25.0,76.0,23.0,33.0,40.0,30.0,34.0,20.0,21.0,16.0,21.0,15.0,45.0,12.0,6.0,5.0,4.0,11.0,18.0,21.0,8.0,26.0,9.0,1.0,8.0
G80,승용차,내수,2275.0,2696.0,3288.0,3423.0,2896.0,2711.0,4469.0,3408.0,3495.0,4812.0,5040.0,4241.0,3569.0,3577.0,4044.0,3307.0,3051.0,3425.0,3245.0,3283.0,2856.0,2507.0,3744.0,3092.0,4047.0,3055.0,3618.0,3132.0,2976.0,3116.0,2621.0,2982.0,2767.0,3411.0,2889.0,2605.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4157.0,7516.0,7889.0,6464.0,4100.0,6040.0,5268.0,5019.0,6730.0,5650.0,2714.0,5252.0,6010.0,5584.0,5357.0,4993.0,3576.0,3757.0,5583.0,3671.0,5964.0,0.0,0.0,0.0,0.0,0.0,51.0,200.0,115.0,126.0,124.0,106.0,81.0,4052.0,4268.0,4356.0,4407.0,4701.0,4647.0,3169.0,2855.0,2765.0,1931.0,2956.0,2092.0,3468.0,3250.0,5266.0,4934.0,3622.0,3656.0,3110.0,3485.0,3892.0,3822.0,3398.0,3470.0,2710.0,3982.0
G80 (RG3),승용차,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0,142.0,135.0,536.0,275.0,230.0,5323.0,4543.0,3640.0,3793.0,3994.0,3222.0,2758.0,2818.0,2695.0,2895.0,4035.0,4763.0,5.0,22.0,314.0,166.0,112.0,71.0,83.0,68.0,54.0,38.0,67.0,37.0,26.0,6.0,32.0,32.0,25.0,34.0,33.0,3.0,6.0,129.0,89.0,66.0,20.0,44.0
G90 (RS4),승용차,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67.0,1073.0,1897.0,2129.0,2329.0,2456.0,2274.0,2422.0,2217.0,2818.0,1364.0,2172.0,944.0,835.0,1120.0,1023.0,1417.0,1629.0,1102.0,1054.0,836.0,646.0,719.0,1154.0,768.0,605.0,715.0,829.0,866.0,633.0,594.0,532.0,551.0,550.0,683.0,705.0,554.0,628.0
Casper (AX),휴양용 차량,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1753.0,3701.0,3690.0,2645.0,1977.0,3101.0,1710.0,584.0,2121.0,1974.0,1325.0,2175.0,1554.0,1029.0,1575.0,1015.0,1189.0,1475.0,1069.0,1099.0,1441.0,1224.0,1001.0,1418.0,754.0,965.0,1163.0,1003.0,1194.0,1165.0,3948.0,3304.0,3725.0,3420.0,4402.0,4401.0,4478.0,3302.0,4032.0,3908.0,5573.0,3509.0,3070.0,3164.0,3248.0,3420.0,4064.0,3900.0,3706.0,3804.0,3705.0,3648.0,5701.0,4021.0,3006.0,3118.0,3442.0,3549.0,3861.0,3352.0,3425.0,3592.0,1927.0,1434.0,2014.0,1197.0,740.0,232.0
Casper (AX EV),휴양용 차량,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1439.0,2075.0,2186.0,1731.0,440.0,186.0,1061.0
Venue,휴양용 차량,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1922.0,1722.0,2378.0,3001.0,2457.0,2309.0,1659.0,1461.0,1978.0,2741.0,2179.0,2084.0,1372.0,1177.0,2918.0,2116.0,1416.0,1776.0,1503.0,533.0,1541.0,1154.0,1330.0,1054.0,911.0,860.0,1060.0,839.0,553.0,547.0,606.0,718.0,332.0,648.0,480.0,912.0,925.0,615.0,673.0,790.0,776.0,896.0,548.0,376.0,673.0,702.0,432.0,1019.0,646.0,492.0,526.0,449.0,511.0,952.0,546.0,904.0,771.0,1182.0,776.0,526.0,323.0,323.0,283.0,295.0,603.0,494.0,365.0,299.0,411.0,439.0,395.0,415.0,694.0,697.0
Kona (SX2),휴양용 차량,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620.0,3127.0,3758.0,2370.0,1474.0,1529.0,1564.0,1187.0,1237.0,1326.0,1323.0,1218.0,1289.0,994.0,1943.0,2046.0,1826.0,1694.0,1385.0,1171.0,1148.0,1330.0,1052.0,1714.0,1510.0,1271.0
Kona (SX2 HEV),휴양용 차량,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,989.0,1653.0,974.0,941.0,836.0,1153.0,1056.0,1271.0,1454.0,682.0,683.0,403.0,452.0,482.0,694.0,653.0,521.0,701.0,881.0,810.0,749.0,834.0,588.0,552.0
Kona (SX2 EV),휴양용 차량,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64.0,664.0,238.0,355.0,208.0,337.0,432.0,212.0,4.0,58.0,352.0,208.0,253.0,246.0,508.0,263.0,632.0,189.0,233.0,58.0,43.0,411.0
Tucson (NX4),휴양용 차량,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,370.0,2983.0,3253.0,2318.0,1660.0,1605.0,1148.0,821.0,867.0,1283.0,1279.0,526.0,1135.0,1809.0,1121.0,2728.0,2034.0,2072.0,3273.0,2258.0,1724.0,1093.0,1398.0,1493.0,1052.0,1415.0,1890.0,2044.0,1955.0,2454.0,2409.0,2544.0,2755.0,1546.0,1659.0,1785.0,1922.0,1827.0,1883.0,2657.0,1464.0,1591.0,1817.0,2987.0,2592.0,1937.0,1649.0,1652.0,2835.0,2523.0,2973.0,2097.0,2349.0
Tucson (NX4 HEV),휴양용 차량,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,891.0,650.0,668.0,902.0,1464.0,1140.0,455.0,564.0,959.0,677.0,897.0,1193.0,1592.0,1606.0,1782.0,1703.0,1697.0,1686.0,1644.0,1317.0,1341.0,1510.0,1378.0,1705.0,2495.0,1606.0,1933.0,2445.0,1851.0,1624.0,1187.0,2316.0,2901.0,3530.0,3060.0,3632.0,1539.0,2386.0
NEXO(FE),휴양용 차량,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0,51.0,62.0,55.0,29.0,43.0,49.0,127.0,160.0,140.0,21.0,72.0,151.0,363.0,461.0,478.0,352.0,247.0,454.0,608.0,699.0,288.0,81.0,443.0,706.0,795.0,270.0,317.0,700.0,675.0,461.0,640.0,365.0,333.0,142.0,568.0,934.0,1265.0,756.0,751.0,490.0,556.0,939.0,940.0,865.0,296.0,319.0,650.0,445.0,1294.0,1270.0,907.0,573.0,980.0,1083.0,1101.0,1096.0,446.0,307.0,884.0,694.0,327.0,410.0,305.0,371.0,293.0,237.0,189.0,232.0,79.0,2.0,331.0,268.0,252.0,316.0,294.0,330.0,347.0,268.0,184.0,111.0,48.0,24.0,248.0
IONIQ 5 (NE),휴양용 차량,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,376.0,3995.0,3208.0,2963.0,3054.0,1507.0,3102.0,1998.0,2396.0,2169.0,1920.0,711.0,76.0,1911.0,1701.0,2123.0,2396.0,1297.0,1350.0,1061.0,612.0,1376.0,1669.0,763.0,34.0,221.0,1810.0,1549.0,1559.0,1810.0,1717.0,1181.0,1146.0,1039.0,1218.0,578.0,49.0,1446.0
IONIQ 5 N (NE N),휴양용 차량,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93.0,95.0,54.0,28.0,5.0,3.0,47.0,35.0,31.0,24.0,47.0,41.0,26.0,25.0,34.0,33.0,26.0,17.0
IONIQ9 (ME EV),휴양용 차량,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,181.0
Santa Fe (MX5),휴양용 차량,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,550.0,4329.0,3277.0,1708.0,2011.0,2986.0,2441.0,1903.0,2077.0,1709.0,1460.0,1367.0,1347.0,1237.0,1553.0,2183.0,1049.0,1005.0,1174.0
Santa Fe (MX5 HEV),휴양용 차량,내수,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4669.0,6949.0,5616.0,5028.0,4972.0,5981.0,3770.0,3896.0,3540.0,3881.0,4368.0,4077.0,5741.0,5393.0,5200.0,3814.0,3902.0
