브랜드,모델명,모델구분,탑승인원,트림명,차량구분,연료구분,차량형태,전장,전폭,전고,배기량,공차중량,CO2배출량,연비,기본가격,img_url
현대,스타리아,투어러,11인승,Modern,대형,디젤,승합차,5255 ,1995 ,1990 ,2199 ,2390 ,190 ,10 ,30510000 ,https://www.hyundai.com/contents/vr360/US17/exterior/PE2/001.png
현대,스타리아,투어러,9인승,Prestige,대형,하이브리드,승합차,5255 ,1995 ,1990 ,1598 ,2220 ,132 ,12 ,41100000 ,https://www.hyundai.com/contents/vr360/US17/exterior/A2B/060.png
현대,스타리아,투어러,11인승,Inspiration,대형,하이브리드,승합차,5255 ,1995 ,1990 ,1598 ,2315 ,130 ,13 ,44970000 ,https://www.hyundai.com/contents/vr360/US17/exterior/NFA/057.png
현대,스타리아,투어러,9인승,Limousine,대형,LPG,승합차,5255 ,1995 ,1990 ,3470 ,2190 ,197 ,7 ,59110000 ,https://www.hyundai.com/contents/vr360/US17/exterior/YAC/001.png
현대,스타리아,투어러,11인승,Modern,대형,LPG,승합차,5255 ,1995 ,1990 ,3470 ,2270 ,199 ,7 ,32380000 ,https://www.hyundai.com/contents/vr360/US17/exterior/R2T/001.png
현대,스타리아,카고,3인승,Modern,대형,LPG,승합차,5255 ,1995 ,2000 ,3470 ,1990 ,189 ,7 ,30280000 ,https://www.hyundai.com/contents/vr360/US17/exterior/PE2/001.png
현대,스타리아,라운지,9인승,Prestige,대형,디젤,승합차,5255 ,1995 ,1990 ,2199 ,2240 ,171 ,11 ,37800000 ,https://www.hyundai.com/contents/vr360/US17/exterior/A2B/060.png
현대,스타리아,라운지,9인승,Inspiration,대형,디젤,승합차,5255 ,1995 ,1990 ,2199 ,2240 ,171 ,11 ,41670000 ,https://www.hyundai.com/contents/vr360/US17/exterior/NFA/057.png
현대,스타리아,라운지,7인승,Inspiration,대형,디젤,승합차,5255 ,1995 ,1990 ,2199 ,2240 ,171 ,11 ,42840000 ,https://www.hyundai.com/contents/vr360/US17/exterior/YAC/001.png
현대,스타리아,카고,3인승,Limousine,대형,하이브리드,승합차,5255 ,1995 ,2000 ,1598 ,1985 ,125 ,13 ,62410000 ,https://www.hyundai.com/contents/vr360/US17/exterior/R2T/001.png
현대,스타리아,카고,3인승,Inspiration,대형,하이브리드,승합차,5255 ,1995 ,2000 ,1598 ,1985 ,125 ,13 ,46140000 ,https://www.hyundai.com/contents/vr360/US17/exterior/PE2/001.png
현대,스타리아,카고,3인승,Limousine,대형,하이브리드,승합차,5255 ,1995 ,2000 ,1598 ,1985 ,125 ,13 ,64550000 ,https://www.hyundai.com/contents/vr360/US17/exterior/A2B/060.png
현대,펠리세이드,기본,9인승,Exclusive,대형,하이브리드,SUV,5060 ,1980 ,1805 ,2497 ,2055 ,114 ,14 ,49820000 ,https://www.hyundai.com/contents/vr360/FX01/exterior/A/WC9/001.png
현대,펠리세이드,기본,9인승,Prestige,대형,하이브리드,SUV,5060 ,1980 ,1805 ,2497 ,2055 ,114 ,14 ,55360000 ,https://www.hyundai.com/contents/vr360/FX01/exterior/B/WC9/001.png
현대,펠리세이드,기본,9인승,Calligraphy,대형,하이브리드,SUV,5060 ,1980 ,1805 ,2497 ,2055 ,114 ,14 ,61860000 ,https://www.hyundai.com/contents/vr360/FX01/exterior/C/R8N/001.png
현대,펠리세이드,기본,7인승,Exclusive,대형,하이브리드,SUV,5060 ,1980 ,1805 ,2497 ,2055 ,114 ,14 ,51460000 ,https://www.hyundai.com/contents/vr360/FX01/exterior/A/PE2/001.png
현대,펠리세이드,기본,7인승,Prestige,대형,하이브리드,SUV,5060 ,1980 ,1805 ,2497 ,2055 ,114 ,14 ,57290000 ,https://www.hyundai.com/contents/vr360/FX01/exterior/B/A2B/001.png
현대,펠리세이드,기본,7인승,Calligraphy,대형,하이브리드,SUV,5060 ,1980 ,1805 ,2497 ,2055 ,114 ,14 ,64240000 ,https://www.hyundai.com/contents/vr360/FX01/exterior/C/WC9/001.png
현대,펠리세이드,기본,9인승,Exclusive,대형,가솔린,SUV,5060 ,1980 ,1805 ,2497 ,2055 ,193 ,9 ,43830000 ,https://www.hyundai.com/contents/vr360/FX01/exterior/A/CBP/001.png
현대,펠리세이드,기본,9인승,Prestige,대형,가솔린,SUV,5060 ,1980 ,1805 ,2497 ,2055 ,193 ,9 ,49360000 ,https://www.hyundai.com/contents/vr360/FX01/exterior/B/PE2/001.png
현대,펠리세이드,기본,9인승,Calligraphy,대형,가솔린,SUV,5060 ,1980 ,1805 ,2497 ,2055 ,193 ,9 ,55860000 ,https://www.hyundai.com/contents/vr360/FX01/exterior/C/CBP/001.png
현대,펠리세이드,기본,7인승,Exclusive,대형,가솔린,SUV,5060 ,1980 ,1805 ,2497 ,2090 ,197 ,9 ,45160000 ,https://www.hyundai.com/contents/vr360/FX01/exterior/A/GMP/001.png
현대,펠리세이드,기본,7인승,Prestige,대형,가솔린,SUV,5060 ,1980 ,1805 ,2497 ,2090 ,197 ,9 ,50990000 ,https://www.hyundai.com/contents/vr360/FX01/exterior/B/CRP/001.png
현대,펠리세이드,기본,7인승,Calligraphy,대형,가솔린,SUV,5060 ,1980 ,1805 ,2497 ,2090 ,197 ,9 ,57940000 ,https://www.hyundai.com/contents/vr360/FX01/exterior/C/GMP/001.png
제네시스,G80,G80,5인승,기본,중형,가솔린,세단,5005 ,1925 ,1465 ,2497 ,1900 ,166 ,9 ,59900000 ,https://www.genesis.com/content/dam/genesis-p2/kr/assets/models/g80/24fl/color/genesis-kr-g80-facelift-standard-color-matte-makalu-gray-small.png
제네시스,G80,G80,5인승,BLACK,중형,가솔린,세단,5005 ,1925 ,1465 ,2497 ,1915 ,166 ,9 ,82750000 ,https://www.genesis.com/content/dam/genesis-p2/kr/assets/models/g80/24fl/color/genesis-kr-g80-facelift-standard-color-matte-makalu-gray-small.png
제네시스,G80,ELECTRIFIED,5인승,EV,중형,전기,세단,5135 ,1925 ,1480 ,0 ,0 ,166 ,4 ,84900000 ,https://www.genesis.com/content/dam/genesis-p2/kr/assets/models/g80/24fl/color/genesis-kr-g80-facelift-standard-color-matte-makalu-gray-small.png
제네시스,GV60,GV60,5인승,기본,소형,전기,SUV,4545 ,1890 ,1580 ,0 ,2020 ,0 ,5 ,68360000 ,https://www.genesis.com/content/dam/genesis-p2/worldwide/assets/models/gv60/24my/color/genesis-ww-gv60-colors-05-glossy-hanauma-mint-small.png
제네시스,GV70,ELECTRIFIED,5인승,EV,준중형,전기,SUV,4715 ,1910 ,1630 ,0 ,1915 ,0 ,5 ,79310000 ,https://www.car-dict.com/wp-content/uploads/2023/08/GV70-%ED%8E%98%EC%9D%B4%EC%8A%A4%EB%A6%AC%ED%94%84%ED%8A%B8.png
제네시스,GV70,GV70,5인승,가솔린2.5터보,준중형,가솔린,SUV,4715 ,1910 ,1630 ,2497 ,1940 ,171 ,9 ,53800000 ,https://www.car-dict.com/wp-content/uploads/2023/08/GV70-%ED%8E%98%EC%9D%B4%EC%8A%A4%EB%A6%AC%ED%94%84%ED%8A%B8.png
제네시스,G70,G70,5인승,SHOOTINGBRAKE,준중형,가솔린,세단,4685 ,1850 ,1400 ,1998 ,1660 ,190 ,10 ,45450000 ,https://www.genesis.com/content/dam/genesis-p2/kr/assets/models/g70/renewal/exterior/color/genesis-kr-g70-sport-color-glossy-makalu-gray-small.png
제네시스,G70,G70,5인승,기본,준중형,가솔린,세단,4685 ,1850 ,1400 ,1998 ,1675 ,171 ,10 ,43470000 ,https://www.genesis.com/content/dam/genesis-p2/kr/assets/models/g70/renewal/exterior/color/genesis-kr-g70-standard-color-glossy-kawah-blue-small.png
제네시스,G90,G90,5인승,기본,대형,가솔린,세단,5275 ,1930 ,1490 ,3470 ,2195 ,184 ,9 ,97600000 ,https://m.charentcar.com/web/product/big/202206/9919d3d36043a83161be036158c38dee.png
제네시스,G90,G90,5인승,LONGWHEELBASE,대형,가솔린,세단,5465 ,1930 ,1490 ,3470 ,2395 ,202 ,9 ,167900000 ,https://www.genesis.com/content/dam/genesis-p2/kr/admin/model-information/G80%20Black/list-thumbnail/2025-01-06/16-00-12/genesis-kr-admin-model-list-thumbnail-g80-black-25my-pc-630x240-ko.png
제네시스,G90,G90,5인승,BLACK,대형,가솔린,세단,5465 ,1930 ,1490 ,3470 ,2255 ,190 ,9 ,129600000 ,https://m.charentcar.com/web/product/big/202206/9919d3d36043a83161be036158c38dee.png
제네시스,G90,G90,5인승,LONGWHEELBASEBLACK,대형,가솔린,세단,5465 ,1930 ,1490 ,3470 ,2395 ,190 ,9 ,175200000 ,https://m.charentcar.com/web/product/big/202206/9919d3d36043a83161be036158c38dee.png
제네시스,GV80,GV80,5인승,기본,중형,가솔린,SUV,4955 ,1975 ,1715 ,2497 ,2130 ,179 ,10 ,69800000 ,https://www.genesis.com/content/dam/genesis-p2/kr/bto/jp/a/jp_uyh_a.png.thumb.1280.720.png
제네시스,GV80,GV80,5인승,BLACK,중형,가솔린,SUV,4955 ,1975 ,1715 ,2497 ,2215 ,179 ,9 ,94400000 ,https://www.genesis.com/content/dam/genesis-p2/kr/assets/models/gv80/24fl/color-view/genesis-kr-gv80-facelift-color-glossy-uyuni-white-small.png
제네시스,GV80,GV80,5인승,COUPE,중형,가솔린,SUV,4955 ,1975 ,1715 ,3470 ,2310 ,179 ,8 ,81800000 ,https://www.genesis.com/content/dam/genesis-p2/kr/assets/models/gv80/24fl/color-view/genesis-kr-gv80-facelift-color-glossy-uyuni-white-small.png
제네시스,GV80,GV80,5인승,COUPEBLACK,중형,가솔린,SUV,4955 ,1975 ,1715 ,3470 ,2310 ,185 ,8 ,100300000 ,https://www.genesis.com/content/dam/genesis-p2/kr/assets/models/gv80/24fl/color-view/genesis-kr-gv80-facelift-color-glossy-uyuni-white-small.png
현대,그랜저,기본,5인승,프리미엄,대형,가솔린,세단,5035 ,1880 ,1460 ,2497 ,1620 ,143 ,12 ,37680000 ,https://www.hyundai.com/contents/vr360/GN05/exterior/T9M/001.png
현대,그랜저,기본,5인승,익스클루시브,대형,가솔린,세단,5035 ,1880 ,1460 ,2497 ,1635 ,148 ,11 ,42580000 ,https://www.hyundai.com/contents/vr360/GN05/exterior/VAM/001.png
현대,그랜저,기본,5인승,캘리그래피,대형,가솔린,세단,5035 ,1880 ,1460 ,2497 ,1655 ,150 ,11 ,47210000 ,https://www.hyundai.com/contents/vr360/GN05/exterior/NGM/001.png
현대,그랜저,기본,5인승,블랙익스테리어,대형,가솔린,세단,5035 ,1880 ,1460 ,2497 ,1655 ,150 ,11 ,47210000 ,https://www.hyundai.com/contents/vr360/GN05/exterior/W6H-R/001.png
현대,그랜저,기본,5인승,블랙잉크,대형,가솔린,세단,5035 ,1880 ,1460 ,2497 ,1655 ,150 ,11 ,55160000 ,https://www.hyundai.com/contents/vr360/GN05/exterior/A2B-K/001.png
현대,그랜저,LPG3.5,5인승,프리미엄,대형,LPG,세단,5035 ,1880 ,1460 ,3470 ,1715 ,170 ,8 ,39160000 ,https://www.hyundai.com/contents/vr360/GN06/exterior/T2G/001.png
현대,그랜저,LPG3.5,5인승,익스클루시브,대형,LPG,세단,5035 ,1880 ,1460 ,3470 ,1750 ,183 ,7 ,44060000 ,https://www.hyundai.com/contents/vr360/GN06/exterior/NGM/001.png
현대,그랜저,하이브리드,5인승,프리미엄,대형,하이브리드,세단,5035 ,1880 ,1460 ,1598 ,1700 ,88 ,18 ,44340000 ,https://www.hyundai.com/contents/vr360/GN06/exterior/NGM/001.png
현대,그랜저,하이브리드,5인승,익스클루시브,대형,하이브리드,세단,5035 ,1880 ,1460 ,1598 ,1715 ,96 ,17 ,49240000 ,https://www.hyundai.com/contents/vr360/GN06/exterior/W6H-R/001.png
현대,그랜저,하이브리드,5인승,캘리그래피,대형,하이브리드,세단,5035 ,1880 ,1460 ,1598 ,1735 ,103 ,16 ,53870000 ,https://www.hyundai.com/contents/vr360/GN06/exterior/NY9/001.png
현대,그랜저,하이브리드,5인승,블랙익스테리어,대형,하이브리드,세단,5035 ,1880 ,1460 ,1598 ,1735 ,103 ,16 ,53870000 ,https://www.hyundai.com/contents/vr360/GN06/exterior/A2B-R/001.png
현대,그랜저,하이브리드,5인승,블랙잉크,대형,하이브리드,세단,5035 ,1880 ,1460 ,1598 ,1735 ,103 ,16 ,53870000 ,https://www.hyundai.com/contents/vr360/GN06/exterior/A2B-K/001.png
현대,그랜저,하이브리드,5인승,블랙잉크,대형,하이브리드,세단,5035 ,1880 ,1460 ,1598 ,1735 ,103 ,16 ,55160000 ,https://www.hyundai.com/contents/vr360/GN06/exterior/W6H-K/001.png
현대,투싼,1.6T가솔린2WD,5인승,Modern,중형,가솔린,SUV,4630 ,1865 ,1665 ,1555 ,1598 ,144 ,13 ,27290000 ,https://www.hyundai.com/contents/vr360/NX13/exterior/R2T/001.png
현대,투싼,1.6T가솔린2WD,5인승,Premium,중형,가솔린,SUV,4630 ,1865 ,1665 ,1555 ,1598 ,144 ,12 ,30190000 ,https://www.hyundai.com/contents/vr360/NX13/exterior/PS8/001.png
현대,투싼,1.6T가솔린2WD,5인승,NLinePremium,중형,가솔린,SUV,4630 ,1865 ,1665 ,1730 ,1998 ,144 ,12 ,31740000 ,https://www.hyundai.com/contents/vr360/NX15/exterior/TCM/001.png
현대,투싼,1.6T가솔린2WD,5인승,Inspiration,중형,가솔린,SUV,4630 ,1865 ,1665 ,1555 ,1598 ,144 ,12 ,33880000 ,https://www.hyundai.com/contents/vr360/NX13/exterior/R2P/001.png
현대,투싼,1.6T가솔린2WD,5인승,NLineInspiration,중형,가솔린,SUV,4630 ,1865 ,1665 ,1730 ,1998 ,95 ,12 ,34680000 ,https://www.hyundai.com/contents/vr360/NX15/exterior/R4G/001.png
현대,투싼,1.6T하이브리드2WD,5인승,Modern,중형,하이브리드,SUV,4630 ,1865 ,1665 ,1555 ,1598 ,95 ,17 ,32560000 ,https://www.hyundai.com/contents/vr360/NX14/exterior/R2T/001.png
현대,투싼,1.6T하이브리드2WD,5인승,Premium,중형,하이브리드,SUV,4630 ,1865 ,1665 ,1555 ,1598 ,95 ,16 ,35320000 ,https://www.hyundai.com/contents/vr360/NX14/exterior/TCM/001.png
현대,투싼,1.6T하이브리드2WD,5인승,NLinePremium,중형,하이브리드,SUV,4630 ,1865 ,1665 ,1730 ,1998 ,95 ,16 ,36870000 ,https://www.hyundai.com/contents/vr360/NX16/exterior/TW3/001.png
현대,투싼,1.6T하이브리드2WD,5인승,Inspiration,중형,하이브리드,SUV,4630 ,1865 ,1665 ,1730 ,1998 ,95 ,16 ,39010000 ,https://www.hyundai.com/contents/vr360/NX14/exterior/R2P/001.png
현대,투싼,1.6T하이브리드2WD,5인승,NLineInspiration,중형,하이브리드,SUV,4630 ,1865 ,1665 ,1730 ,1998 ,95 ,16 ,39810000 ,https://www.hyundai.com/contents/vr360/NX16/exterior/R2P/001.png
현대,쏘나타,스마트스트림가솔린2.0,5인승,Premium,준중형,가솔린,세단,4900 ,1860 ,1445 ,1999 ,1475 ,132 ,13 ,28310000 ,https://www.hyundai.com/contents/repn-car/side-45/main-sonata-the-edge-25my-45side.png
현대,쏘나타,스마트스트림가솔린2.0,5인승,Exclusive,준중형,가솔린,세단,4900 ,1860 ,1445 ,1999 ,1475 ,132 ,13 ,32010000 ,https://www.hyundai.com/contents/repn-car/side-45/main-sonata-the-edge-25my-45side.png
현대,쏘나타,스마트스트림가솔린2.0,5인승,Inspiration,준중형,가솔린,세단,4900 ,1860 ,1445 ,1999 ,1475 ,132 ,13 ,35360000 ,https://www.hyundai.com/contents/repn-car/side-45/main-sonata-the-edge-25my-45side.png
현대,쏘나타,스마트스트림가솔린1.6터보,5인승,Premium,준중형,가솔린,세단,4900 ,1860 ,1445 ,1598 ,1490 ,123 ,14 ,28980000 ,https://www.hyundai.com/contents/repn-car/side-45/main-sonata-the-edge-25my-45side.png
현대,쏘나타,스마트스트림LPG2.0,5인승,Premium,준중형,LPG,세단,4900 ,1860 ,1445 ,1999 ,1490 ,134 ,10 ,29200000 ,https://www.hyundai.com/contents/repn-car/side-45/main-sonata-the-edge-25my-45side.png
현대,쏘나타,스마트스트림가솔린2.0하이브리드,5인승,Premium,준중형,하이브리드,세단,4900 ,1860 ,1445 ,1999 ,1490 ,134 ,19 ,31000000 ,https://www.hyundai.com/contents/repn-car/side-45/main-sonata-the-edge-hybrid-25my-45side.png
현대,쏘나타,스마트스트림가솔린1.6터보,5인승,NLine,준중형,가솔린,세단,4900 ,1860 ,1445 ,1598 ,1500 ,126 ,13 ,33710000 ,https://www.hyundai.com/contents/repn-car/side-45/main-sonata-the-edge-25my-45side.png
현대,쏘나타,스마트스트림가솔린2.5터보,5인승,NLine,준중형,가솔린,세단,4900 ,1860 ,1445 ,2497 ,1550 ,170 ,11 ,38950000 ,https://www.hyundai.com/contents/repn-car/side-45/main-sonata-the-edge-25my-45side.png
현대,쏘나타,스마트스트림가솔린2.0하이브리드,5인승,Premium,준중형,하이브리드,세단,4900 ,1860 ,1445 ,1999 ,1550 ,170 ,19 ,32530000 ,https://www.hyundai.com/contents/repn-car/side-45/main-sonata-the-edge-hybrid-25my-45side.png
현대,쏘나타,스마트스트림가솔린2.0하이브리드,5인승,Exclusive,준중형,하이브리드,세단,4900 ,1860 ,1445 ,1999 ,1550 ,170 ,19 ,36250000 ,https://www.hyundai.com/contents/repn-car/side-45/main-sonata-the-edge-hybrid-25my-45side.png
현대,쏘나타,스마트스트림가솔린2.0하이브리드,5인승,Inspiration,준중형,하이브리드,세단,4900 ,1860 ,1445 ,1999 ,1550 ,170 ,19 ,39650000 ,https://www.hyundai.com/contents/repn-car/side-45/main-sonata-the-edge-hybrid-25my-45side.png
현대,아반떼,스마트스트림가솔린1.6,5인승,Smart,준중형,가솔린,세단,4710 ,1825 ,1420 ,1598 ,1235 ,118 ,15 ,19940000 ,https://www.hyundai.com/contents/repn-car/side-45/main-avante-25my-45side.png
현대,아반떼,스마트스트림가솔린1.6,5인승,Modern,준중형,가솔린,세단,4710 ,1825 ,1420 ,1598 ,1235 ,118 ,15 ,23260000 ,https://www.hyundai.com/contents/repn-car/side-45/main-avante-25my-45side.png
현대,아반떼,스마트스트림가솔린1.6,5인승,Inspiration,준중형,가솔린,세단,4710 ,1825 ,1420 ,1598 ,1235 ,118 ,15 ,26990000 ,https://www.hyundai.com/contents/repn-car/side-45/main-avante-25my-45side.png
현대,아반떼,스마트스트림가솔린1.6하이브리드,5인승,SmartHybrid,준중형,하이브리드,세단,4710 ,1825 ,1420 ,1598 ,1235 ,0 ,21 ,26170000 ,https://www.hyundai.com/contents/repn-car/side-45/main-avante-25my-45side.png
현대,아반떼,스마트스트림가솔린1.6터보,5인승,NLineModern,준중형,가솔린,세단,4710 ,1825 ,1420 ,1598 ,1235 ,118 ,14 ,29490000 ,https://www.hyundai.com/contents/repn-car/side-45/main-avante-25my-45side.png
현대,아반떼,가솔린2.0터보플랫파워,5인승,AvanteN,준중형,가솔린,세단,4710 ,1825 ,1420 ,1998 ,1235 ,118 ,10 ,33600000 ,https://www.hyundai.com/contents/repn-car/side-45/main-avante-n-25my-45side.png
현대,베뉴,기본,5인승,프리미엄,소형,가솔린,SUV,4040 ,1770 ,1585 ,1598 ,1180 ,125 ,14 ,21130000 ,https://www.hyundai.com/contents/vr360/QX06/exterior/R20/001.png
현대,베뉴,기본,5인승,FLUX,소형,가솔린,SUV,4040 ,1770 ,1585 ,1598 ,1215 ,125 ,14 ,23760000 ,https://www.hyundai.com/contents/vr360/QX06/exterior/C50/001.png
현대,넥쏘,기본,5인승,프리미엄,중형,수소,SUV,4670 ,1860 ,1630 ,0 ,1840 ,0 ,96 ,73200000 ,https://www.hyundai.com/contents/vr360/FE04/exterior/A5G/001.png
현대,캐스퍼,일렉트릭,5인승,프리미엄,소형,전기,SUV,3625 ,1625 ,1575 ,0 ,1300 ,0 ,6 ,27400000 ,https://casper.hyundai.com/_nuxt/img/trim-img-01.811d5ec.png
현대,캐스퍼,일렉트릭,5인승,인스퍼레이션,소형,전기,SUV,3625 ,1625 ,1575 ,0 ,1335 ,0 ,6 ,29900000 ,https://casper.hyundai.com/_nuxt/img/trim-img-02.e80e8db.png
현대,캐스퍼,일렉트릭,5인승,크로스,소형,전기,SUV,3625 ,1625 ,1575 ,0 ,1370 ,0 ,5 ,31900000 ,https://casper.hyundai.com/_nuxt/img/trim-img-03.65563c7.png
현대,캐스퍼,기본,5인승,스마트,소형,가솔린,SUV,3625 ,1625 ,1575 ,998 ,995 ,99 ,14 ,14600000 ,https://casper.hyundai.com/_nuxt/img/trim-smart.32aafbf.png
현대,캐스퍼,기본,5인승,디에센셜,소형,가솔린,SUV,3625 ,1625 ,1575 ,998 ,1050 ,99 ,14 ,16800000 ,https://casper.hyundai.com/_nuxt/img/trim-essential.b03d6e6.png
현대,캐스퍼,기본,5인승,인스퍼레이션,소형,가솔린,SUV,3625 ,1625 ,1575 ,998 ,1070 ,99 ,14 ,19800000 ,https://casper.hyundai.com/_nuxt/img/trim-insperation.2c4b772.png
현대,코나,하이브리드,5인승,Modern,소형,하이브리드,SUV,4350 ,1825 ,1580 ,1580 ,1598 ,87 ,18 ,31020000 ,https://www.hyundai.com/contents/vr360/SX07/exterior/RRR/001.png
현대,코나,하이브리드,5인승,PLUS,소형,하이브리드,SUV,4350 ,1825 ,1580 ,1580 ,1598 ,87 ,18 ,31660000 ,https://www.hyundai.com/contents/vr360/SX07/exterior/SAW/001.png
현대,코나,하이브리드,5인승,Premium,소형,하이브리드,SUV,4350 ,1825 ,1580 ,1580 ,1598 ,87 ,18 ,33210000 ,https://www.hyundai.com/contents/vr360/SX07/exterior/C5G/001.png
현대,코나,하이브리드,5인승,NLinePremium,소형,하이브리드,SUV,4350 ,1825 ,1580 ,1580 ,1598 ,87 ,18 ,34840000 ,https://www.hyundai.com/contents/vr360/SX07/exterior/PE2/001.png
현대,코나,하이브리드,5인승,Inspiration,소형,하이브리드,SUV,4350 ,1825 ,1580 ,1580 ,1598 ,87 ,18 ,36380000 ,https://www.hyundai.com/contents/vr360/SX07/exterior/YYY/001.png
현대,코나,하이브리드,5인승,NLineInspiration,소형,하이브리드,SUV,4350 ,1825 ,1580 ,1580 ,1598 ,87 ,18 ,37370000 ,https://www.hyundai.com/contents/vr360/SX07/exterior/R2P/001.png
현대,코나,Standard,5인승,E-Value+,소형,전기,SUV,4350 ,1825 ,1580 ,1580 ,0 ,0 ,6 ,43630000 ,https://www.hyundai.com/contents/vr360/SX07/exterior/A2B/001.png
현대,코나,Standard,5인승,Premium,소형,전기,SUV,4350 ,1825 ,1580 ,1580 ,0 ,0 ,6 ,45840000 ,https://www.hyundai.com/contents/vr360/SX07/exterior/RR0/001.png
현대,코나,LongRange,5인승,Premium,소형,전기,SUV,4350 ,1825 ,1580 ,1580 ,0 ,0 ,6 ,49000000 ,https://www.hyundai.com/contents/vr360/SX07/exterior/SA0/001.png
현대,코나,LongRange,5인승,NLinePremium,소형,전기,SUV,4350 ,1825 ,1580 ,1580 ,0 ,0 ,5 ,50880000 ,https://www.hyundai.com/contents/vr360/SX07/exterior/C50/001.png
